Departure_Regex,Arrival_Regex,Route,RNAV Required,Notes
MIA,MYNN,"MIA# KETLL ELQUE RAJAY",TRUE,"TP/P AOB 170"
MIA,MYGF,"FOLZZ# PADUS",TRUE,"TJ AOB 150"
MIA,MYGF,"MIA# FOLZZ PADUS",TRUE,"TP/P AOB 150"
MIA,MBPV,"KLADA# BITAC SOLEI",TRUE,"TJ"
MIA,TNCM,"KLADA# BITAC Y290 CALTO Y290 SLUGO ULUBA1",TRUE,"TJ"
MIA,TJSJ,"KLADA# BITAC Y290 BEANO",TRUE,"TJ"
MIA,MDSD,"KLADA# JAGOR RUMFO Y441 JUELE UW38 PTA UT20 KODIX KODIX2H",TRUE,"TJ"
MIA,MDPC,"KLADA# JAGOR RUMFO Y441 JUELE UW38 PTA UW28 PETRI BEREL",TRUE,"TJ"
FLL,MCO|ORL|SFB|ISM|LEE,"FRSBE# WAPOM RIDES#",TRUE,"TJ AOB 230"
FLL,MCO|ORL|SFB|ISM|LEE,"DORRL# MATLK SLOAO#",TRUE,"TP AOB 230"
FLL,MCO|ORL|SFB|ISM|LEE,"SHANC T347 BAIRN",TRUE,"P AOB 100"
FLL,MLB|COF|COI|TIX|TTS|XMR,"FRSBE# WAPOM VALKA",TRUE,"TJ AOB 140"
FLL,MLB|COF|COI|TIX|TTS|XMR,"SHANC T208 VALKA",TRUE,"TP/P AOB 100"
FLL,TPA|PIE|MCF|SPG,"BNICE# COREA BLFRG#",TRUE,"TJ AOB 240"
FLL,TPA|PIE|MCF|SPG,"FLL# BNICE COREA BLFRG#",TRUE,"TP/P AOB 240"
FLL,SRQ|VNC,"BNICE# COREA TUBBA CURSD",TRUE,"TJ AOB 200"
FLL,SRQ|VNC,"FLL# BNICE LBELL CAYOO",TRUE,"TP/P AOB 200"
FLL,LAL|BOW|BKV,"BNICE# COREA LBELL LAL",TRUE,"TJ AOB 200"
FLL,LAL|BOW|BKV,"FLL# BNICE LBELL LAL",TRUE,"TP/P AOB 200"
FLL,EYW|NQX,"MAYNR# MAYNR FNTSY FNTSY# (EYW only)",TRUE,"TJ AOB 200"
FLL,EYW|NQX,"FLL# MAYNR GUCEL",TRUE,"TP/P AOB 200"
FLL,PBI|BCT|06FA,"AGERS# HURGI AARPS",TRUE,"TJ AOB 50"
FLL,PBI|BCT|06FA,"HEATT (radar vectors)",TRUE,"TP/P AOB 40"
FLL,SUA|VRB|FPR,"LIFRR# WIXED",TRUE,"TJ AOB 60"
FLL,SUA|VRB|FPR,"SHANC T208 CLEFF SHEDS",TRUE,"TP/P AOB 60"
FLL,RSW|PGD|APF|FMY,"BNICE# MERKS RSW",TRUE,"TJ AOB 100"
FLL,RSW|PGD|APF|FMY,"FLL# BNICE",TRUE,"TP/P AOB 100"
FLL,MIA|PMP|FXE|HWO|OPF|TMB,"Radar vectors",TRUE,"TJ AOB 40"
FLL,MIA|PMP|FXE|HWO|OPF|TMB,"Radar vectors",TRUE,"TP/P AOB 20"
FLL,JAX|CRG|NIP|NRB,"FRSBE# STYMY ORL HAINY QUBEN# (JAX only)",TRUE,"TJ AOB 310"
FLL,JAX|CRG|NIP|NRB,"FLL# DORRL ORL POGIE#",TRUE,"TJ AOB 310"
FLL,JAX|CRG|NIP|NRB,"SHANC T208 FOXAM SEBAG",TRUE,"TP/P AOB 100"
FLL,DAB|OMN|DED|EVB|FIN,"FLMGO# WAPOM VALKA T208 SMYRA",TRUE,"TJ AOB 230"
FLL,DAB|OMN|DED|EVB|FIN,"SHANC T208 SMYRA",TRUE,"TP/P AOB 100"
FLL,MUHA,"GLADZ# LULLS Y196 CANOA ENTRY4","FLL EAST, TJ AOB 300"
FLL,MUHA,"MAYNR# CANOA ENTRY4","FLL WEST, TJ AOB 300"
FLL,MYNN,"SNAPR# RAJAY",TRUE,"TJ AOB 210"
FLL,MYNN,"FLL# BEECH BAHMA RAJAY",TRUE,"TP/P AOB 170"
FLL,MYGF,"FEALX# PADUS",TRUE,"TJ AOB 110"
FLL,MYGF,"FLL# FEALX PADUS",TRUE,"TP/P AOB 110"
FLL,MBPV,"SNAPR# SUMAC SOLEI",TRUE,"TJ"
FLL,TNCM,"SNAPR# SUMAC Y421 HAGIT Y290 SLUGO PJM",TRUE,"TJ"
FLL,TJSJ,"SNAPR# SUMAC Y421 HAGIT Y290 BEANO",TRUE,"TJ"
FLL,MDSD,"SNAPR# SUMAC Y443 RUMFO Y441 JUELE UW38 PTA KODIX KODIX2H",TRUE,"TJ"
FLL,MDPC,"SNAPR# SUMAC Y443 RUMFO Y441 JUELE UW38 PTA UW28 DEMBU BEREL POKEG1W",TRUE,"TJ"
TPA,MIA|TMB,"GANDY# SABEE FROGZ#",TRUE,"TJ AOB 250"
TPA,MIA|TMB,"SABEE RSW PALMZ#",TRUE,"TP/P AOB 170"
TPA,FLL|FXE|PMP|HWO,"GANDY# SABEE TEEKY#",TRUE,"TJ AOB 250"
TPA,FLL|FXE|PMP|HWO,"SABEE RSW FORTL#",TRUE,"TP AOB 170"
TPA,FLL|FXE|PMP|HWO,"CROWD GILBI V511 NEWER",TRUE,"P AOB 70"
TPA,OPF,"GANDY# SABEE CUURT#",TRUE,"TJ AOB 210"
TPA,OPF,"SABEE RSW PALMZ#",TRUE,"TP AOB 170"
TPA,OPF,"CROWD GILBI V511 NEWER",TRUE,"P AOB 70"
TPA,MCO|ORL|SFB|ISM|LEE,"LAL MINEE MINEE#",TRUE,"TJ/TP AOB 90"
TPA,MCO|ORL|SFB|ISM|LEE,"PRICY MINEE",TRUE,"P AOB 50"
TPA,MLB|COF|COI|TIX|TTS|XMR,"LAL YOJIX T336 DEARY",TRUE,"ALL AOB 70"
TPA,EYW|NQX,"GANDY# SABEE KRAKN# (EYW only)",TRUE,"TJ AOB 210"
TPA,EYW|NQX,"SABEE RSW V539 KARTR",TRUE,"TP/P AOB 170"
TPA,PBI|BCT|SUA|06FA,"GANDY# SABEE VUUDU#",TRUE,"TJ AOB 170"
TPA,PBI|BCT|SUA|06FA,"SABEE RACNO TTYLR#",TRUE,"TP/P AOB 170"
TPA,VRB|FPR,"LAL YOJIX T336 VALKA",TRUE,"ALL AOB 90"
TPA,RSW|APF|FMY,"CEXAN",TRUE,"ALL AOB 90"
TPA,PGD,"CEXAN",TRUE,"ALL AOB 70"
TPA,PIE|MCF|SPG,"PIE (radar vectors)",TRUE,"ALL AOB 40"
TPA,SRQ|VNC,"SRQ (radar vectors)",TRUE,"ALL AOB 60"
TPA,LAL|BOW|BKV,"Radar vectors",TRUE,"ALL AOB 50"
TPA,JAX|CRG|NIP|NRB,"BAYPO# WILON HILIS TEBOW# (JAX only)",TRUE,"TJ AOB 230"
TPA,JAX|CRG|NIP|NRB,"WILON",TRUE,"TP/P AOB 100"
TPA,DAB|OMN|DED|EVB|FIN,"VARZE T210 GUANO",TRUE,"ALL AOB 90"
TPA,MUHA,"GANDY# SABEE KARTR LULLS Y196 CANOA ENTRY4",TRUE,"TJ AOB 250"
TPA,MYNN,"CROWD# HALLR AIRBT RAJAY",TRUE,"TJ AOB 310"
TPA,MYNN,"CROWD JAYMC Y280 CANVI RAJAY",TRUE,"TP AOB 230"
TPA,MYNN,"CROWD SURFN Y624 ZFP BR63V HANKX",TRUE,"P AOB 230"
TPA,MYGF,"CROWD# CROWD JAKEL BR62V ZFP",TRUE,"TJ AOB 230"
